genre,time_bin,x_centered,y_centered,z_centered
edm,35.9000,1.0508,10.5818,-1.5552
edm,36.0000,1.1891,10.5993,-1.5855
edm,36.1000,0.9823,10.6377,-1.5799
edm,36.2000,1.3716,10.5810,-1.6456
edm,36.3000,1.3561,10.5626,-1.6555
edm,36.4000,0.9099,10.5557,-1.6067
edm,36.5000,1.0481,10.5369,-1.6288
edm,36.6000,0.8118,10.5768,-1.6076
edm,36.7000,1.1880,10.5292,-1.6708
edm,36.8000,1.2078,10.4651,-1.6676
edm,36.9000,0.8411,10.4590,-1.6111
edm,37.0000,1.0553,10.3986,-1.6380
edm,37.1000,0.8851,10.3976,-1.6227
edm,37.2000,1.2633,10.3661,-1.6784
edm,37.3000,1.2739,10.3695,-1.6793
edm,37.4000,0.8945,10.4864,-1.6267
edm,37.5000,1.0666,10.5384,-1.6609
edm,37.6000,0.8323,10.6462,-1.6398
edm,37.7000,1.2070,10.6429,-1.6929
edm,37.8000,1.1977,10.7328,-1.7029
edm,37.9000,0.8632,10.8542,-1.6683
edm,38.0000,1.1218,10.8403,-1.6985
edm,38.1000,1.0008,10.8457,-1.6804
edm,38.2000,1.4170,10.6922,-1.7145
edm,38.3000,1.4749,10.6189,-1.7079
edm,38.4000,1.0693,10.6110,-1.6571
edm,38.5000,1.1822,10.4948,-1.6823
edm,38.6000,0.9246,10.4727,-1.6590
edm,38.7000,1.1800,10.3879,-1.7141
edm,38.8000,1.0768,10.3468,-1.7030
edm,38.9000,0.7116,10.3943,-1.6457
edm,39.0000,0.8744,10.3995,-1.6775
edm,39.1000,0.7032,10.4757,-1.6567
edm,39.2000,1.0554,10.4153,-1.6934
edm,39.3000,1.0687,10.3750,-1.6801
edm,39.4000,0.7254,10.3490,-1.6281
edm,39.5000,0.9365,10.3293,-1.6583
edm,39.6000,0.7800,10.3890,-1.6406
edm,39.7000,1.1331,10.5065,-1.7191
edm,39.8000,1.0884,10.6476,-1.7272
edm,39.9000,0.7238,10.7552,-1.6881
edm,40.0000,0.9236,10.8318,-1.7126
edm,40.1000,0.7448,10.8907,-1.6987
edm,40.2000,1.1037,11.0532,-1.7626
edm,40.3000,1.1252,11.1712,-1.7663
edm,40.4000,0.7443,11.2084,-1.7197
edm,40.5000,0.9425,11.3566,-1.7529
edm,40.6000,0.7842,11.3746,-1.7263
edm,40.7000,1.2466,11.6058,-1.7893
edm,40.8000,1.2487,11.6992,-1.7882
edm,40.9000,0.8982,11.6516,-1.7331
edm,41.0000,1.1248,11.8113,-1.7610
edm,41.1000,0.9711,11.8161,-1.7385
edm,41.2000,1.3228,12.0185,-1.8098
edm,41.3000,1.3321,12.0454,-1.8230
edm,41.4000,0.9435,11.8244,-1.7579
edm,41.5000,1.1186,11.7719,-1.7685
edm,41.6000,0.9500,11.6364,-1.7317
edm,41.7000,1.2816,11.7567,-1.7956
edm,41.8000,1.2845,11.6871,-1.7894
edm,41.9000,0.9404,11.5390,-1.7340
edm,42.0000,1.1267,11.4971,-1.7491
edm,42.1000,0.9466,11.3320,-1.7168
edm,42.2000,1.3260,11.3796,-1.7797
edm,42.3000,1.3352,11.3569,-1.7834
edm,42.4000,0.9235,11.2294,-1.7257
edm,42.5000,1.1187,11.1900,-1.7473
edm,42.6000,0.9604,11.0597,-1.7102
edm,42.7000,1.3626,11.0207,-1.7584
edm,42.8000,1.3788,10.9243,-1.7526
edm,42.9000,1.0577,10.7786,-1.6962
edm,43.0000,1.2555,10.7340,-1.7164
edm,43.1000,1.0580,10.6675,-1.6894
edm,43.2000,1.3695,10.6433,-1.7472
edm,43.3000,1.3655,10.6021,-1.7595
edm,43.4000,1.0191,10.4936,-1.7076
edm,43.5000,1.2268,10.3964,-1.7357
edm,43.6000,1.0910,10.3022,-1.7092
edm,43.7000,1.5006,10.2167,-1.7647
edm,43.8000,1.4765,10.1695,-1.7647
edm,43.9000,1.1340,10.1412,-1.7218
edm,44.0000,1.3036,10.1460,-1.7573
edm,44.1000,1.1046,10.1632,-1.7285
edm,44.2000,1.4101,10.1921,-1.7916
edm,44.3000,1.3772,10.2122,-1.8233
edm,44.4000,1.0056,10.1453,-1.7861
edm,44.5000,1.2298,10.1542,-1.8116
edm,44.6000,1.1013,10.1235,-1.7767
edm,44.7000,1.5078,10.2470,-1.8434
edm,44.8000,1.5121,10.2713,-1.8356
edm,44.9000,1.1592,10.1294,-1.7611
edm,45.0000,1.3234,10.1140,-1.7700
edm,45.1000,1.1329,10.0670,-1.7417
edm,45.2000,1.4767,10.2421,-1.7990
edm,45.3000,1.4769,10.2896,-1.7995
edm,45.4000,1.0935,10.2355,-1.7406
edm,45.5000,1.2513,10.3722,-1.7839
edm,45.6000,1.0561,10.3948,-1.7600
edm,45.7000,1.3706,10.5853,-1.8304
edm,45.8000,1.3136,10.5970,-1.8210
edm,45.9000,0.9405,10.5183,-1.7506
edm,46.0000,1.0852,10.6270,-1.7782
edm,46.1000,0.8877,10.6605,-1.7520
edm,46.2000,1.2345,10.7757,-1.8052
edm,46.3000,1.2514,10.7593,-1.8116
edm,46.4000,0.8836,10.5517,-1.7421
edm,46.5000,1.0862,10.4211,-1.7587
edm,46.6000,0.9144,10.2415,-1.7281
edm,46.7000,1.3206,10.2206,-1.7879
edm,46.8000,1.3232,10.1301,-1.7819
edm,46.9000,0.9891,10.0440,-1.7375
edm,47.0000,1.1419,10.0417,-1.7698
edm,47.1000,0.9523,9.9958,-1.7481
edm,47.2000,1.2860,10.0866,-1.8000
edm,47.3000,1.2693,10.1604,-1.8013
edm,47.4000,0.8866,10.2043,-1.7662
edm,47.5000,1.0168,10.2681,-1.7953
edm,47.6000,0.7922,10.2825,-1.7630
edm,47.7000,1.1488,10.3437,-1.8173
edm,47.8000,1.1833,10.3707,-1.8186
edm,47.9000,0.8973,10.4605,-1.7760
edm,48.0000,1.1060,10.5525,-1.8034
edm,48.1000,0.9507,10.6045,-1.7866
